SS,FSR,FQE,FRU,PU,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR,insti_id,rank,domain,OE+MIR
9.5,30.0,18.02,20.26,618.0,0.0,3.2,35.82,15.0,13.79,2.81,16.07,18.02,1.9,20.0,0.72,IR-E-U-0535,78,Engineering,
10.0,30.0,15.82,22.29,11.78,1.0,0.15,24.88,15.0,8.66,2.62,23.23,20.65,2.56,20.0,0.72,IR-E-U-0384,79,Engineering,
17.3,30.0,17.18,721.0,758.0,2.5,0.89,28.41,15.0,9.68,541.0,13.23,28.89,728.0,20.0,17.21,IR-E-U-0043,80,Engineering,
14.72,15.66,11.03,13.33,15.18,2.5,1.87,36.08,15.0,16.5,5.68,11.6,15.35,5.97,20.0,9.92,IR-E-U-0284,81,Engineering,
12.14,19.54,13.36,14.68,12.51,125.0,1.86,39.31,15.0,15.5,5.98,13.49,1458.0,10.51,20.0,635.0,IR-E-U-0207,82,Engineering,
644.0,26.72,15.61,17.72,14.07,0.25,3.69,31.89,1245.0,15.04,3.23,10.24,17.0,11.22,20.0,727.0,IR-E-U-0619,83,Engineering,
14.05,28.83,16.05,9.56,16.64,5.0,127.0,16.16,11.39,11.95,3.49,15.6,24.32,2.27,20.0,3.79,IR-E-U-0223,84,Engineering,
15.19,15.35,9.72,13.49,15.06,2.5,1.76,31.85,15.0,15.34,445.0,12.96,13.74,8.73,20.0,1745.0,IR-E-U-0172,85,Engineering,
13.82,17.54,12.03,11.47,17.91,2.25,1.07,29.73,15.0,14.23,731.0,1148.0,14.46,851.0,20.0,477.0,IR-E-U-0092,86,Engineering,
15.5,28.22,16.39,6.6,13.64,6.0,0.52,22.03,13.99,858.0,141.0,21.87,21.13,434.0,20.0,7387.0,IR-E-U-0489,87,Engineering,
11.5,30.0,14.82,19.84,4.04,1.5,1.73,26.24,15.0,11.49,9.08,16.82,30.0,11.46,20.0,3.79,IR-E-C-24004,88,Engineering,
