insti_ID,nirf_year,domain,fin_year,library,equipment,workshops,studios,capital_assets,salaries,maintenance,seminars,research_amount,consultancy_amount,sponsored_projects,funding_agencies
IR-E-U-0410,2025,Engineering,2022-23,51000323.0,193477394.0,7393224.0,,,965795213.0,392491683.0,7393224.0,112858802.0,90632956.0,47.0,23.0
IR-E-U-0410,2025,Engineering,2021-22,17594468.0,17688747.0,3258801.0,,,917948614.0,399517947.0,3258801.0,123237780.0,135986070.0,27.0,14.0
IR-E-U-0564,2025,Engineering,2023-24,55554978.0,53500388.0,24269169.0,,,1283461590.0,1890405155.0,24269169.0,33570289.0,17269905.0,18.0,8.0
IR-E-U-0564,2025,Engineering,2022-23,25600625.0,63060587.0,17048300.0,,,1075618127.0,1462340612.0,17048300.0,13189949.0,17297398.0,15.0,7.0
IR-E-U-0564,2025,Engineering,2021-22,13062390.0,11268579.0,7345420.0,,,1127151987.0,797398984.0,7345420.0,31246955.0,10697327.0,16.0,11.0
IR-E-U-0334,2025,Engineering,2023-24,186554266.0,59553885.0,29081862.0,,,1518689584.0,650091324.0,29081862.0,95024767.0,269219392.0,140.0,66.0
IR-E-U-0334,2025,Engineering,2022-23,246939086.0,55750472.0,30475800.0,,,1198333666.0,353313663.0,30475800.0,132406863.0,177816147.0,156.0,49.0
IR-E-U-0334,2025,Engineering,2021-22,276492532.0,79557701.0,5371544.0,,,1036408787.0,304676693.0,5371544.0,173001398.0,189800000.0,120.0,56.0
IR-E-I-1441,2025,Engineering,2023-24,45955976.0,77775934.0,2408470.0,,,901997227.0,674529311.0,2408470.0,74187807.0,97621503.0,,
IR-E-I-1441,2025,Engineering,2022-23,19977254.0,45306023.0,2916727.0,,,519225355.0,207938958.0,2916727.0,81060217.0,0.0,,
IR-E-I-1441,2025,Engineering,2021-22,18789499.0,51859120.0,6676109.0,,,415380284.0,639645115.0,6676109.0,0.0,0.0,,
IR-E-U-0329,2025,Engineering,2023-24,2603705.0,56669591.0,19432977.0,,,374532677.0,468833236.0,19432977.0,26387598.0,739270.0,,
IR-E-U-0329,2025,Engineering,2022-23,6199749.0,162442431.0,13592314.0,,,293520411.0,397371607.0,13592314.0,22366955.0,1808813.0,,
IR-E-U-0329,2025,Engineering,2021-22,138472.0,25889258.0,5799843.0,,,199114619.0,215248711.0,5799843.0,15034061.0,1261250.0,,
IR-E-C-16604,2025,Engineering,2023-24,82493126.0,44722965.0,5441176.0,,,,,,125391794.0,26660610.0,82.0,16.0
IR-E-C-16604,2025,Engineering,2022-23,66917321.0,35256454.0,3018913.0,,,,,,19259753.0,15876047.0,54.0,16.0
IR-E-C-16604,2025,Engineering,2021-22,66125402.0,27910253.0,1910329.0,,,,,,20713566.0,10929686.0,47.0,12.0
IR-E-U-0379,2025,Engineering,2023-24,45720351.0,27327110.0,137450.0,,,,,,27376521.0,17118648.0,31.0,9.0
